id,type,question,answer,reference,docs,faithfulness,answer_relevancy,context_precision,context_recall,expect
M01,표현 바꾸기,2026년 사업에 잡힌 돈이 얼마지?,문서에 없음,"2,948,322,227원(부가세 포함)",09. 제안요청서_2022년 디지털정부서비스 개방 플랫폼 구축.pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf,1.0,0.0,0.0,0.0,같아야
M02,무관 문장 붙이기,오늘 비가 오네. 2026년 디지털서비스 개방 API 개발 지원사업의 사업예산은 얼마인가,"2,948,322,227원(부가세 포함)입니다.","2,948,322,227원(부가세 포함)",07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf,1.0,0.1651193290957389,0.4166666666458333,1.0,같아야
M03,조건 바꾸기,2025년 1차 디지털서비스 개방 API 개발 지원사업의 사업예산은 얼마인가,문서에 없음,"1,799,985,414원(부가세 포함)",07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf,0.0,0.0,0.0,0.0,달라져야
M04,오타·띄어쓰기,2026년 디지털서비스개방 API개발지원 사업의 사업예산 은을마인가,문서에 없음,"2,948,322,227원(부가세 포함)",07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf,1.0,0.0,0.0,0.0,같아야
M05,표현 바꾸기,2026년에 개방하는 서비스 개수가 몇 개야?,문서에 없음,25종,01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|08. 제안요청서_2023년 디지털서비스플랫폼 고도화 사업.pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf,0.0,0.0,0.0,0.0,같아야
M06,무관 문장 붙이기,점심은 뭘 먹을까. 2026년 사업의 디지털서비스 개방 대상 서비스는 몇 종인가,문서에 없음,25종,01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf,0.0,0.0,0.0,0.0,같아야
M07,조건 바꾸기,2024년 2차 사업의 디지털서비스 개방 대상 서비스는 몇 종인가,문서에 없음,7종,06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf,1.0,0.0,0.0,0.0,달라져야
M08,오타·띄어쓰기,2026년 사업의 디지털 서비스 개방대상 서비스는 몇종 인가,문서에 없음,25종,01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf,0.0,0.0,0.0,0.0,같아야
M09,표현 바꾸기,2026년에는 API를 뭐로 바꿀 수 있게 만들라는 거야?,문서에 없음,AI 국민비서 연계를 위한 MCP Tool 전환 가능,01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf,0.0,0.0,0.7499999999625,0.0,같아야
M10,무관 문장 붙이기,회의가 길었다. 2026년 사업에서 API를 어떤 형태로 전환 가능하게 설계하도록 요구하는가,문서에 없음,AI 국민비서 연계를 위한 MCP Tool 전환 가능,01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf,0.0,0.0,0.999999999975,0.0,같아야
M11,조건 바꾸기,2023년 사업에서 API를 어떤 형태로 전환 가능하게 설계하도록 요구하는가,문서에 없음,해당 요구 없음(2023년 문서에 MCP Tool 전환 요구 없음),06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf,0.0,0.0,0.8333333332916666,1.0,달라져야
M12,오타·띄어쓰기,2026년 사업에서 API를 어떤형태로 전환가능 하게 설계 하도록 요구하는가,문서에 없음,AI 국민비서 연계를 위한 MCP Tool 전환 가능,07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf,0.0,0.0,0.999999999975,0.0,같아야
M13,표현 바꾸기,2023년이랑 비교하면 2026년 예산이 얼마나 늘었어?,문서에 없음,약 2.27배,07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf,0.0,0.0,0.0,0.0,같아야
M14,무관 문장 붙이기,커피가 식었다. 2023년 API 개발 지원사업 대비 2026년 사업의 예산은 약 몇 배인가,문서에 없음,약 2.27배,07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf,0.0,0.0,0.0,0.0,같아야
M15,조건 바꾸기,2023년 API 개발 지원사업 대비 2024년 1차 사업의 예산은 약 몇 배인가,문서에 없음,"약 0.92배(1,198,717,220원 / 1,298,311,371원)",07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf,0.0,0.0,0.49999999995,0.0,달라져야
M16,오타·띄어쓰기,2023년 API개발 지원사업 대비2026년 사업의 예산은약 몇배인가,문서에 없음,약 2.27배,07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf,0.0,0.0,0.0,0.0,같아야
M17,표현 바꾸기,150일이 아닌 사업이 있었나?,문서에 없음,2024년 3차(145일),09. 제안요청서_2022년 디지털정부서비스 개방 플랫폼 구축.pdf,0.0,0.0,0.0,0.0,같아야
M18,무관 문장 붙이기,주말이 기다려진다. 2023년부터 2026년까지 API 개발 지원사업 중 사업기간이 150일이 아닌 사업은,문서에 없음,2024년 3차(145일),07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf,0.0,0.0,0.0,0.0,같아야
